event,year,gender,competition,round,lane,position,athlete,country,time,reaction_time
200m,2009,M,World Championships,table_11,2,3,Charles Clark,United States,20.27,NA
200m,2009,M,World Championships,table_11,3,2,Steve Mullings,Jamaica,20.26,NA
200m,2009,M,World Championships,table_11,4,4,Ramil Guliyev,Azerbaijan,20.28,NA
200m,2009,M,World Championships,table_11,5,1,Wallace Spearmon,United States,20.14,NA
200m,2009,M,World Championships,table_11,6,7,Marlon Devonish,Great Britain & N.I.,20.62,NA
200m,2009,M,World Championships,table_11,7,5,Martial Mbandjock,France,20.43,NA
200m,2009,M,World Championships,table_11,8,6,Paul Hession,Ireland,20.48,NA
200m,2009,M,World Championships,table_12,1,7,Ramil Guliyev,Azerbaijan,20.61,NA
200m,2009,M,World Championships,table_12,2,8,David Alerte,France,20.68,NA
200m,2009,M,World Championships,table_12,3,5,Steve Mullings,Jamaica,19.98,NA
200m,2009,M,World Championships,table_12,7,6,Charles Clark,United States,20.39,NA
200m,2009,M,World Championships,table_12,8,4,Shawn Crawford,United States,19.89,NA
200m,2011,F,World Championships,table_8,1,6,Debbie Ferguson-McKenzie,Bahamas,22.96,NA
200m,2011,F,World Championships,table_8,2,7,Hrystyna Stuy,Ukraine,23.02,NA
200m,2011,F,World Championships,table_8,6,4,Shalonda Solomon,United States,22.61,NA
200m,2011,F,World Championships,table_8,7,8,Sherone Simpson,Jamaica,23.17,NA
200m,2011,F,World Championships,table_8,8,5,Kerron Stewart,Jamaica,22.7,NA
200m,2011,M,World Championships,table_10,1,7,Rondel Sorrillo,Trinidad and Tobago,20.34,NA
200m,2011,M,World Championships,table_10,2,6,Bruno de Barros,Brazil,20.31,NA
200m,2011,M,World Championships,table_10,5,5,Nickel Ashmeade,Jamaica,20.29,NA
200m,2011,M,World Championships,table_10,8,4,Jaysuma Saidy Ndure,Norway,19.95,NA
200m,2012,M,Olympics,table_16,2,6,Christophe Lemaitre,France,20.19,NA
200m,2012,M,Olympics,table_16,3,7,Álex Quiñónez,Ecuador,20.57,NA
200m,2012,M,Olympics,table_16,5,5,Churandy Martina,Netherlands,20,NA
200m,2012,M,Olympics,table_16,6,4,Wallace Spearmon,United States,19.9,NA
200m,2012,M,Olympics,table_16,9,8,Anaso Jobodwana,South Africa,20.69,NA
200m,2013,F,World Championships,table_8,1,16,Kimberly Hyacinthe,Canada,23.12,NA
200m,2013,F,World Championships,table_8,1,18,Kai Selvon,Trinidad and Tobago,23.21,NA
200m,2013,F,World Championships,table_8,1,22,Maria Belibasaki,Greece,23.46,NA
200m,2013,F,World Championships,table_8,2,9,Ivet Lalova,Bulgaria,22.81,NA
200m,2013,F,World Championships,table_8,2,14,Mariely Sánchez,Dominican Republic,23.05,NA
200m,2013,F,World Championships,table_8,2,18,Jodie Williams,Great Britain & N.I.,23.21,NA
200m,2013,F,World Championships,table_8,3,1,Allyson Felix,United States,22.3,NA
200m,2013,F,World Championships,table_8,3,9,Anthonique Strachan,Bahamas,22.81,NA
200m,2013,F,World Championships,table_8,3,23,Anneisha McLaughlin,Jamaica,27.13,NA
200m,2013,F,World Championships,table_8,4,2,Blessing Okagbare,Nigeria,22.39,NA
200m,2013,F,World Championships,table_8,4,3,Murielle Ahouré,Ivory Coast,22.46,NA
200m,2013,F,World Championships,table_8,4,4,Shelly-Ann Fraser-Pryce,Jamaica,22.54,NA
200m,2013,F,World Championships,table_8,5,6,Mariya Ryemyen,Ukraine,22.7,NA
200m,2013,F,World Championships,table_8,5,13,Hrystyna Stuy,Ukraine,22.98,NA
200m,2013,F,World Championships,table_8,6,5,Shaunae Miller,Bahamas,22.66,NA
200m,2013,F,World Championships,table_8,6,8,Charonda Williams,United States,22.8,NA
200m,2013,F,World Championships,table_8,6,12,Kimberlyn Duncan,United States,22.91,NA
200m,2013,F,World Championships,table_8,7,15,Lénora Guion-Firmin,France,23.11,NA
200m,2013,F,World Championships,table_8,7,17,Johanna Danois,France,23.15,NA
200m,2013,F,World Championships,table_8,7,18,Hanna-Maari Latvala,Finland,23.21,NA
200m,2013,F,World Championships,table_8,8,6,Jeneba Tarmoh,United States,22.7,NA
200m,2013,F,World Championships,table_8,8,11,Myriam Soumaré,France,22.85,NA
200m,2013,F,World Championships,table_8,8,21,Patricia Hall,Jamaica,23.26,NA
200m,2013,F,World Championships,table_9,1,5,Jeneba Tarmoh,United States,22.78,NA
200m,2013,F,World Championships,table_9,2,6,Charonda Williams,United States,22.81,NA
200m,2013,F,World Championships,table_9,7,4,Shaunae Miller,Bahamas,22.74,NA
200m,2013,F,World Championships,table_9,8,7,Mariya Ryemyen,Ukraine,22.84,NA
200m,2013,M,World Championships,table_8,1,15,Álex Quiñónez,Ecuador,20.55,NA
200m,2013,M,World Championships,table_8,1,19,Shōta Iizuka,Japan,20.61,NA
200m,2013,M,World Championships,table_8,1,21,Wallace Spearmon,United States,20.66,NA
200m,2013,M,World Championships,table_8,2,17,Lykourgos-Stefanos Tsakonas,Greece,20.56,NA
200m,2013,M,World Championships,table_8,2,20,Karol Zalewski,Poland,20.66,NA
200m,2013,M,World Championships,table_8,2,24,Lalonde Gordon,Trinidad and Tobago,21.14,NA
200m,2013,M,World Championships,table_8,3,5,Anaso Jobodwana,South Africa,20.13,NA
200m,2013,M,World Championships,table_8,3,7,Warren Weir,Jamaica,20.2,NA
200m,2013,M,World Championships,table_8,3,22,Alonso Edward,Panama,20.67,NA
200m,2013,M,World Championships,table_8,4,3,Nickel Ashmeade,Jamaica,20,NA
200m,2013,M,World Championships,table_8,4,4,Usain Bolt,Jamaica,20.12,NA
200m,2013,M,World Championships,table_8,4,8,Jaysuma Saidy Ndure,Norway,20.33,NA
200m,2013,M,World Championships,table_8,5,1,Curtis Mitchell,United States,19.97,NA
200m,2013,M,World Championships,table_8,5,6,Churandy Martina,Netherlands,20.13,NA
200m,2013,M,World Championships,table_8,5,12,Jason Livermore,Jamaica,20.46,NA
200m,2013,M,World Championships,table_8,6,2,Adam Gemili,Great Britain & N.I.,19.98,NA
200m,2013,M,World Championships,table_8,6,11,James Ellington,Great Britain & N.I.,20.44,NA
200m,2013,M,World Championships,table_8,6,16,Bruno Hortelano,Spain,20.55,NA
200m,2013,M,World Championships,table_8,7,10,Serhiy Smelyk,Ukraine,20.42,NA
200m,2013,M,World Championships,table_8,7,13,Antoine Adams,Saint Kitts and Nevis,20.47,NA
200m,2013,M,World Championships,table_8,7,14,Jimmy Vicaut,France,20.51,NA
200m,2013,M,World Championships,table_8,8,9,Isiah Young,United States,20.36,NA
200m,2013,M,World Championships,table_8,8,18,Delano Williams,Great Britain & N.I.,20.61,NA
200m,2013,M,World Championships,table_8,8,23,Mosito Lehata,Lesotho,20.68,NA
200m,2013,M,World Championships,table_9,1,7,Churandy Martina,Netherlands,20.35,NA
200m,2013,M,World Championships,table_9,2,8,Jaysuma Saidy Ndure,Norway,20.37,NA
200m,2013,M,World Championships,table_9,5,5,Adam Gemili,Great Britain & N.I.,20.08,NA
200m,2013,M,World Championships,table_9,6,4,Nickel Ashmeade,Jamaica,20.05,NA
200m,2013,M,World Championships,table_9,7,6,Anaso Jobodwana,South Africa,20.14,NA
200m,2015,F,World Championships,table_9,3,7,Ivet Lalova,Bulgaria,22.41,NA
200m,2015,F,World Championships,table_9,4,5,Dina Asher-Smith,Great Britain & N.I.,22.07,NA
200m,2015,F,World Championships,table_9,7,4,Candyce McGrone,United States,22.01,NA
200m,2015,F,World Championships,table_9,8,6,Jeneba Tarmoh,United States,22.31,NA
200m,2015,F,World Championships,table_9,9,8,Sherone Simpson,Jamaica,22.5,NA
200m,2015,M,World Championships,table_8,2,7,Femi Ogunode,Qatar,20.27,NA
200m,2015,M,World Championships,table_8,3,6,Ramil Guliyev,Turkey,20.11,NA
200m,2015,M,World Championships,table_8,5,5,Zharnel Hughes,Great Britain & N.I.,20.02,NA
200m,2015,M,World Championships,table_8,8,8,Nickel Ashmeade,Jamaica,20.33,NA
200m,2016,F,Olympics,table_17,1,8,Crystal Emmanuel,Canada,23.05,0.149
200m,2016,F,Olympics,table_17,2,5,Gina Lückenkemper,Germany,22.73,0.196
200m,2016,F,Olympics,table_17,3,6,Edidiong Odiong,Bahrain,22.84,0.156
200m,2016,F,Olympics,table_17,4,1,Tori Bowie,United States,22.13,0.145
200m,2016,F,Olympics,table_17,5,4,Murielle Ahouré,Ivory Coast,22.59,0.144
200m,2016,F,Olympics,table_17,6,2,Michelle-Lee Ahye,Trinidad and Tobago,22.25,0.153
200m,2016,F,Olympics,table_17,7,7,Nercely Soto,Venezuela,22.88,0.174
200m,2016,F,Olympics,table_17,8,3,Simone Facey,Jamaica,22.57,0.158
200m,2016,F,Olympics,table_18,1,7,Deajah Stevens,United States,22.65,0.171
200m,2016,F,Olympics,table_18,2,5,Dina Asher-Smith,Great Britain,22.31,0.135
200m,2016,F,Olympics,table_18,3,4,Marie Josée Ta Lou,Ivory Coast,22.21,0.153
200m,2016,F,Olympics,table_18,7,6,Michelle-Lee Ahye,Trinidad and Tobago,22.34,0.158
200m,2016,F,Olympics,table_18,8,8,Ivet Lalova-Collio,Bulgaria,22.69,0.104
200m,2016,M,Olympics,table_19,1,7,Lykourgos-Stefanos Tsakonas,Greece,20.63,0.159
200m,2016,M,Olympics,table_19,2,3,Justin Gatlin,United States,20.13,0.137
200m,2016,M,Olympics,table_19,3,8,Matteo Galvan,Italy,20.88,0.149
200m,2016,M,Olympics,table_19,4,4,Bruno Hortelano,Spain,20.16,0.142
200m,2016,M,Olympics,table_19,5,1,Alonso Edward,Panama,20.07,0.14
200m,2016,M,Olympics,table_19,6,6,Yohan Blake,Jamaica,20.37,0.151
200m,2016,M,Olympics,table_19,7,5,Nethaneel Mitchell-Blake,Great Britain,20.25,0.196
200m,2016,M,Olympics,table_19,8,2,Churandy Martina,Netherlands,20.1,0.147
200m,2016,M,Olympics,table_20,1,8,Ramil Guliyev,Turkey,20.43,0.141
200m,2016,M,Olympics,table_20,2,4,Adam Gemili,Great Britain,20.12,0.178
200m,2016,M,Olympics,table_20,3,7,Alonso Edward,Panama,20.23,0.162
200m,2016,M,Olympics,table_20,5,6,LaShawn Merritt,United States,20.19,0.189
200m,2016,M,Olympics,table_20,8,5,Churandy Martina,Netherlands,20.13,0.148
200m,2017,F,World Championships,table_10,2,7,Crystal Emmanuel,Canada,22.6,NA
200m,2017,F,World Championships,table_10,3,8,Tynia Gaither,Bahamas,23.07,NA
200m,2017,F,World Championships,table_10,7,5,Deajah Stevens,United States,22.44,NA
200m,2017,F,World Championships,table_10,8,4,Dina Asher-Smith,Great Britain & N.I.,22.22,NA
200m,2017,F,World Championships,table_10,9,6,Kimberlyn Duncan,United States,22.59,NA
200m,2017,F,World Championships,table_9,2,15,Justine Palframan,South Africa,23.21,NA
200m,2017,F,World Championships,table_9,2,20,Jodean Williams,Jamaica,23.32,NA
200m,2017,F,World Championships,table_9,2,23,Semoy Hackett,Trinidad and Tobago,23.54,NA
200m,2017,F,World Championships,table_9,3,13,Sashalee Forbes,Jamaica,23.09,NA
200m,2017,F,World Championships,table_9,3,21,Bianca Williams,Great Britain & N.I.,23.4,NA
200m,2017,F,World Championships,table_9,3,22,Estelle Raffai,France,23.45,NA
200m,2017,F,World Championships,table_9,4,5,Kimberlyn Duncan,United States,22.73,NA
200m,2017,F,World Championships,table_9,4,6,Dina Asher-Smith,Great Britain & N.I.,22.73,NA
200m,2017,F,World Championships,table_9,4,12,Rebekka Haase,Germany,23.03,NA
200m,2017,F,World Championships,table_9,5,1,Dafne Schippers,Netherlands,22.49,NA
200m,2017,F,World Championships,table_9,5,3,Marie-Josée Ta Lou,Ivory Coast,22.5,NA
200m,2017,F,World Championships,table_9,5,10,Mujinga Kambundji,Switzerland,23,NA
200m,2017,F,World Championships,table_9,6,4,Deajah Stevens,United States,22.71,NA
200m,2017,F,World Championships,table_9,6,7,Crystal Emmanuel,Canada,22.85,NA
200m,2017,F,World Championships,table_9,6,11,Simone Facey,Jamaica,23.01,NA
200m,2017,F,World Championships,table_9,7,2,Shaunae Miller-Uibo,Bahamas,22.49,NA
200m,2017,F,World Championships,table_9,7,8,Tynia Gaither,Bahamas,22.85,NA
200m,2017,F,World Championships,table_9,7,9,Ivet Lalova-Collio,Bulgaria,22.96,NA
200m,2017,F,World Championships,table_9,8,14,Sarah Atcho,Switzerland,23.12,NA
200m,2017,F,World Championships,table_9,8,17,Maria Belimpasaki,Greece,23.21,NA
200m,2017,F,World Championships,table_9,8,18,Edidiong Odiong,Bahrain,23.24,NA
200m,2017,F,World Championships,table_9,9,16,Anthonique Strachan,Bahamas,23.21,NA
200m,2017,F,World Championships,table_9,9,19,Vitória Cristina Rosa,Brazil,23.31,NA
200m,2017,M,World Championships,table_10,2,4,Nethaneel Mitchell-Blake,Great Britain & N.I.,20.24,NA
200m,2017,M,World Championships,table_10,4,8,Isiah Young,United States,20.64,NA
200m,2017,M,World Championships,table_10,6,6,Isaac Makwala,Botswana,20.44,NA
200m,2017,M,World Championships,table_10,8,7,Abdul Hakim Sani Brown,Japan,20.63,NA
200m,2017,M,World Championships,table_10,9,5,Ameer Webb,United States,20.26,NA
200m,2017,M,World Championships,table_9,1,3,Isaac Makwala,Botswana,20.14,NA
200m,2017,M,World Championships,table_9,2,13,David Lima,Portugal,20.56,NA
200m,2017,M,World Championships,table_9,2,22,Winston George,Guyana,20.74,NA
200m,2017,M,World Championships,table_9,2,25,Alex Wilson,Switzerland,21.22,NA
200m,2017,M,World Championships,table_9,3,17,Filippo Tortu,Italy,20.62,NA
200m,2017,M,World Championships,table_9,3,23,Wilfried Koffi Hua,Ivory Coast,20.8,NA
200m,2017,M,World Championships,table_9,3,24,Zharnel Hughes,Great Britain & N.I.,20.85,NA
200m,2017,M,World Championships,table_9,4,4,Ramil Guliyev,Turkey,20.17,NA
200m,2017,M,World Championships,table_9,4,14,Kyree King,United States,20.59,NA
200m,2017,M,World Championships,table_9,4,18,Akani Simbine,South Africa,20.62,NA
200m,2017,M,World Championships,table_9,5,2,Jereem Richards,Trinidad and Tobago,20.14,NA
200m,2017,M,World Championships,table_9,5,5,Nethaneel Mitchell-Blake,Great Britain & N.I.,20.19,NA
200m,2017,M,World Championships,table_9,5,6,Ameer Webb,United States,20.22,NA
200m,2017,M,World Championships,table_9,6,7,Wayde van Niekerk,South Africa,20.28,NA
200m,2017,M,World Championships,table_9,6,12,Sydney Siame,Zambia,20.54,NA
200m,2017,M,World Championships,table_9,6,19,Kyle Greaux,Trinidad and Tobago,20.65,NA
200m,2017,M,World Championships,table_9,7,1,Isiah Young,United States,20.12,NA
200m,2017,M,World Championships,table_9,7,9,Daniel Talbot,Great Britain & N.I.,20.38,NA
200m,2017,M,World Championships,table_9,7,11,Yohan Blake,Jamaica,20.52,NA
200m,2017,M,World Championships,table_9,8,8,Christophe Lemaitre,France,20.3,NA
200m,2017,M,World Championships,table_9,8,15,Ján Volko,Slovakia,20.61,NA
200m,2017,M,World Championships,table_9,8,16,Shota Iizuka,Japan,20.62,NA
200m,2017,M,World Championships,table_9,9,10,Abdul Hakim Sani Brown,Japan,20.43,NA
200m,2017,M,World Championships,table_9,9,20,Rasheed Dwyer,Jamaica,20.69,NA
200m,2017,M,World Championships,table_9,9,21,Likourgos-Stefanos Tsakonas,Greece,20.73,NA
200m,2019,F,World Championships,table_7,2,14,Basant Hemida,Egypt,22.92,NA
200m,2019,F,World Championships,table_7,2,15,Jamile Samuel,Netherlands,23.02,NA
200m,2019,F,World Championships,table_7,2,17,Marileidy Paulino,Dominican Republic,23.03,NA
200m,2019,F,World Championships,table_7,3,9,Crystal Emmanuel,Canada,22.65,NA
200m,2019,F,World Championships,table_7,3,12,Maja Mihalinec,Slovenia,22.81,NA
200m,2019,F,World Championships,table_7,3,21,Jessica-Bianca Wessolly,Germany,23.37,NA
200m,2019,F,World Championships,table_7,4,5,Dezerea Bryant,United States,22.56,NA
200m,2019,F,World Championships,table_7,4,11,Jodie Williams,Great Britain & N.I.,22.78,NA
200m,2019,F,World Championships,table_7,4,16,Carolle Zahi,France,23.03,NA
200m,2019,F,World Championships,table_7,5,2,Brittany Brown,United States,22.46,NA
200m,2019,F,World Championships,table_7,5,3,Anglerne Annelus,United States,22.49,NA
200m,2019,F,World Championships,table_7,5,22,Kamaria Durant,Trinidad and Tobago,23.44,NA
200m,2019,F,World Championships,table_7,6,1,Dina Asher-Smith,Great Britain & N.I.,22.16,NA
200m,2019,F,World Championships,table_7,6,10,Aminatou Seyni,Niger,22.77,NA
200m,2019,F,World Championships,table_7,7,7,Ivet Lalova-Collio,Bulgaria,22.58,NA
200m,2019,F,World Championships,table_7,7,18,Tatjana Pinto,Germany,23.11,NA
200m,2019,F,World Championships,table_7,7,23,Anthonique Strachan,Bahamas,25.44,NA
200m,2019,F,World Championships,table_7,8,13,Lisa-Marie Kwayie,Germany,22.83,NA
200m,2019,F,World Championships,table_7,8,19,Beth Dobbin,Great Britain & N.I.,23.11,NA
200m,2019,F,World Championships,table_7,8,20,Shashalee Forbes,Jamaica,23.14,NA
200m,2019,F,World Championships,table_7,9,4,Mujinga Kambundji,Switzerland,22.49,NA
200m,2019,F,World Championships,table_7,9,6,Tynia Gaither,Bahamas,22.57,NA
200m,2019,F,World Championships,table_7,9,8,Gina Bass,Gambia,22.6,NA
200m,2019,F,World Championships,table_8,2,6,Gina Bass,Gambia,22.71,NA
200m,2019,F,World Championships,table_8,3,7,Ivet Lalova-Collio,Bulgaria,22.77,NA
200m,2019,F,World Championships,table_8,5,4,Anglerne Annelus,United States,22.59,NA
200m,2019,F,World Championships,table_8,8,5,Dezerea Bryant,United States,22.63,NA
200m,2019,F,World Championships,table_8,9,8,Tynia Gaither,Bahamas,22.9,NA
200m,2019,M,World Championships,table_7,2,18,Serhiy Smelyk,Ukraine,20.55,NA
200m,2019,M,World Championships,table_7,2,21,Fausto Desalu,Italy,20.73,NA
200m,2019,M,World Championships,table_7,2,22,Divine Oduduru,Nigeria,20.84,NA
200m,2019,M,World Championships,table_7,3,19,Andre Ewers,Jamaica,20.61,NA
200m,2019,M,World Championships,table_7,3,20,Reynier Mena,Cuba,20.61,NA
200m,2019,M,World Championships,table_7,4,2,Álex Quiñónez,Ecuador,19.95,NA
200m,2019,M,World Championships,table_7,4,6,Ramil Guliyev,Turkey,20.16,NA
200m,2019,M,World Championships,table_7,4,15,Yohan Blake,Jamaica,20.37,NA
200m,2019,M,World Championships,table_7,5,1,Noah Lyles,United States,19.86,NA
200m,2019,M,World Championships,table_7,5,4,Adam Gemili,Great Britain & N.I.,20.03,NA
200m,2019,M,World Championships,table_7,5,11,Zharnel Hughes,Great Britain & N.I.,20.3,NA
200m,2019,M,World Championships,table_7,6,3,Xie Zhenye,China,20.03,NA
200m,2019,M,World Championships,table_7,6,5,Andre De Grasse,Canada,20.08,NA
200m,2019,M,World Championships,table_7,6,7,Aaron Brown,Canada,20.2,NA
200m,2019,M,World Championships,table_7,7,8,Kyle Greaux,Trinidad and Tobago,20.24,NA
200m,2019,M,World Championships,table_7,7,10,Jereem Richards,Trinidad and Tobago,20.28,NA
200m,2019,M,World Championships,table_7,8,9,Yancarlos Martínez,Dominican Republic,20.28,NA
200m,2019,M,World Championships,table_7,8,12,Taymir Burnet,Netherlands,20.34,NA
