event,gender,competition,year,round_raw,lane,position,athlete,athlete,athlete,athlete,country,country,country,time_or_mark,reaction_time,reaction_time
100m,M,Olympics,2008,table_19,3,8,Nobuharu Asahara,,,,Japan,,,10.37,0.145,
100m,M,Olympics,2008,table_20,7,1,Usain Bolt,,,,Jamaica,,,9.92,0.165,
100m,M,Olympics,2008,table_20,5,2,Darvis Patton,,,,United States,,,10.04,0.159,
100m,M,Olympics,2008,table_20,4,3,Francis Obikwelu,,,,Portugal,,,10.09,0.168,
100m,M,Olympics,2008,table_20,8,4,Jaysuma Saidy Ndure,,,,Norway,,,10.14,0.133,
100m,M,Olympics,2008,table_20,9,5,Craig Pickering,,,,Great Britain,,,10.18,0.144,
100m,M,Olympics,2008,table_20,6,6,Obinna Metu,,,,Nigeria,,,10.27,0.174,
100m,M,Olympics,2008,table_20,3,7,Anson Henry,,,,Canada,,,10.33,0.142,
100m,M,Olympics,2008,table_20,2,8,Ángel David Rodríguez,,,,Spain,,,10.35,0.154,
100m,M,Olympics,2008,table_21,7,1,Asafa Powell,,,,Jamaica,,,10.02,0.149,
100m,M,Olympics,2008,table_21,9,2,Walter Dix,,,,United States,,,10.08,0.163,
100m,M,Olympics,2008,table_21,5,3,Derrick Atkins,,,,Bahamas,,,10.14,0.179,
100m,M,Olympics,2008,table_21,4,4,Daniel Bailey,,,,Antigua and Barbuda,,,10.23,0.149,
100m,M,Olympics,2008,table_21,3,5,Aziz Zakari,,,,Ghana,,,10.24,0.167,
100m,M,Olympics,2008,table_21,6,6,Andrey Yepishin,,,,Russia,,,10.25,0.158,
100m,M,Olympics,2008,table_21,8,7,Vicente de Lima,,,,Brazil,,,10.31,0.157,
100m,M,Olympics,2008,table_21,2,8,Hu Kai,,,,China,,,10.4,0.165,
100m,M,Olympics,2008,table_22,7,1,Usain Bolt,,,,Jamaica,,,9.85,0.161,
100m,M,Olympics,2008,table_22,6,2,Walter Dix,,,,United States,,,9.95,0.143,
100m,M,Olympics,2008,table_22,4,3,Marc Burns,,,,Trinidad and Tobago,,,9.97,0.124,
100m,M,Olympics,2008,table_22,9,4,Michael Frater,,,,Jamaica,,,10.01,0.163,
100m,M,Olympics,2008,table_22,5,5,Kim Collins,,,,Saint Kitts and Nevis,,,10.05,0.163,
100m,M,Olympics,2008,table_22,2,6,Derrick Atkins,,,,Bahamas,,,10.13,0.159,
100m,M,Olympics,2008,table_22,8,7,Tyrone Edgar,,,,Great Britain,,,10.18,0.143,
100m,M,Olympics,2008,table_22,3,,Samuel Francis,,,,Qatar,,,10.20 DSQ,0.146,
100m,M,Olympics,2008,table_23,6,1,Asafa Powell,,,,Jamaica,,,9.91,0.161,
